JudgmentID,CaseNumber,ProcedureType,CourtType,LawyerName,CaseName,CaseURL
675330c68d6447434fa3d28d,19558-04-24,אזרחי,בתי המשפט המחוזיים,שרון עזרא,"ביהמ""ש המחוזי בתל אביב, אב""ד יונה אטדגי, השופטת עידית ברקוביץ, השופטת טל לוי מיכאלי: פס""ד האם חלמיש נדרשה לאישור רשות החברות הממשלתיות ליועץ המשפטי שייצג את חלמיש בתביעה, והאם חלמיש נדרשה לשלם אגרת תביעה (ע""א 19558-04-24)",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision19558-04-24/he/19558-04-24.docx
675330c68d6447434fa3d290,55952-02-23,אזרחי,בתי המשפט המחוזיים,עידן אדרי,"ביהמ""ש המחוזי בתל אביב, השופט יונה אטדגי: פס""ד בתיק ת""א 55952-02-23",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision55952-02-23/he/55952-02-23.docx
675330c68d6447434fa3d290,55952-02-23,אזרחי,בתי המשפט המחוזיים,דוד קירשנבאום,"ביהמ""ש המחוזי בתל אביב, השופט יונה אטדגי: פס""ד בתיק ת""א 55952-02-23",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision55952-02-23/he/55952-02-23.docx
675330c68d6447434fa3d2a6,60691-01-22,משפחה,בתי המשפט לענייני משפחה,עופרה ג,"ביהמ""ש לענייני משפחה בקריות, סגנית הנשיאה השופטת שירי היימן: פס""ד תמ""ש 60691-01-22",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision60691-01-22/he/60691-01-22.docx
675330c68d6447434fa3d2a6,60691-01-22,משפחה,בתי המשפט לענייני משפחה,משה חורי,"ביהמ""ש לענייני משפחה בקריות, סגנית הנשיאה השופטת שירי היימן: פס""ד תמ""ש 60691-01-22",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision60691-01-22/he/60691-01-22.docx
675330c68d6447434fa3d295,26900-09-22,עניינים מנהליים,בתי המשפט המחוזיים,אלון סמואל,"ביהמ""ש לעניינים מנהליים בתל אביב, השופטת יעל בלכר: פס""ד בעניין חוק העזר לתל אביב שמירה ושיפוץ חזיתות בתים (עת""מ 26900-09-22)",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision26900-09-22/he/26900-09-22.docx
675330c68d6447434fa3d29a,16525-09-24,משפחה,בתי המשפט לענייני משפחה,אביתר רגר,"ביהמ""ש לענייני משפחה בת""א, השופט ארז שני: פס""ד בתובענה לביטול מינוי מנהל עיזבון (ת""ע 16525-09-24)",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision16525-09-24/he/%D7%AA%D7%A2%2016525-09-24.docx
675330c68d6447434fa3d29a,16525-09-24,משפחה,בתי המשפט לענייני משפחה,רפי שפירא,"ביהמ""ש לענייני משפחה בת""א, השופט ארז שני: פס""ד בתובענה לביטול מינוי מנהל עיזבון (ת""ע 16525-09-24)",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision16525-09-24/he/%D7%AA%D7%A2%2016525-09-24.docx
675330c68d6447434fa3d29a,16525-09-24,משפחה,בתי המשפט לענייני משפחה,חן אסף,"ביהמ""ש לענייני משפחה בת""א, השופט ארז שני: פס""ד בתובענה לביטול מינוי מנהל עיזבון (ת""ע 16525-09-24)",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision16525-09-24/he/%D7%AA%D7%A2%2016525-09-24.docx
675330c68d6447434fa3d29c,43598-07-21,משפחה,בתי המשפט לענייני משפחה,דוד מימון,"ביהמ""ש לענייני משפחה בקריות, סגנית הנשיאה השופטת שירי היימן: פס""ד הצהרתי וסילוק יד של בעלת זכות קניינית מכוח הלכת השיתוף הספציפי  (תלה""מ 43598-07-21)",https://www.gov.il/BlobFolder/dynamiccollectorresultitem/decision43598-07-21/he/43598-07-21.docx
